"Ctrl_nameRecordedBy_Standard","Ctrl_recordedBy","Ctrl_notes","collectorDictionary","Ctrl_update","collectorName","Ctrl_fullName","Ctrl_fullNameII","CVStarrVirtualHerbarium_PersonDetails"
"LEON","JOSÉ LUIS LEÓN DE LA LUZ",,"checked",,,,,
"LESUEUR","H. LESUEUR",,"checked",,,,,
"LESUEUR","HARDE LESUEUR",,"checked",,,,,
"LINARES","JOSÉ L. LINARES",,"checked",,,,,
"LINARES","JOSÉ L. LINARES; CARLOS A. MARTÍNEZ",,"checked",,,,,
"LINARES","JOSÉ L. LINARES; CARLOS A. MARTÍNEZ",,"checked",,,,,
"LINDEMAN","LINDEMAN JC; HAAS JH DE",,"checked",,,,,
"LINDEMAN","LINDEMAN JC; HORREÜS DE HAAS R",,"checked",,,,,
"LINDERMAN","J.C. LINDERMAN; J.H. DE HAAS",,"checked",,,,,
"LITTLE","E. L. LITTLE JR.","FILHO-JUNIOR-NETO","checked",,,,,
"LITTLE","ELBERT L. LITTLE","FILHO-JUNIOR-NETO","checked",,,,,
"LOPEZ","A. LÓPEZ",,"checked",,,,,
"LORENTZ","LORENTZ",,"checked",,,,,
"LORENTZ","LORENTZ, P. G.",,"checked",,,,,
"LORENTZ","LORENTZ,P.G. & HIERONYMUS,G.H.E.W.",,"checked",,,,,
"LORENTZ","P. G. LORENTZ",,"checked",,,,,
"LORENTZ","P. G. LORENTZ & G. H. HIERONYMUS",,"checked",,,,,
"LORENTZ","P. G. LORENTZ & G. HIERONYMUS",,"checked",,,,,
"LOT","A. LOT",,"checked",,,,,
"LOT","A. LOT H.",,"checked",,,,,
"LOTT","E. J. LOTT",,"checked",,,,,
"LOTT","E.J. LOTT",,"checked",,,,,
"LOVATO","LOVATO, M.C.",,"checked",,,,,
"LOVATO","LOVATO, MC; ET AL.",,"checked",,,,,
"LOZADA","L. LOZADA",,"checked",,,,,
"LOZADA","LUCIO LOZADA PÉREZ",,"checked",,,,,
"LOZANO","GUSTAVO LOZANO C.","NAO ULTIMO","checked","X",,,,
"LOZANO","LOZANO C., G.",,"checked",,,,,
"LOZANO","REINALDO LOZANO",,"checked","X",,,,
"LUNDELL","C. L. LUNDELL",,"checked",,,,,
"LUNDELL","C. L. LUNDELL & A. A. LUNDELL",,"checked",,,,,
"LUNDELL","CYRUS L. LUNDELL",,"checked",,,,,
"MAAS","MAAS, P.M.J.;CHATROU, L.W.,CLARK, J.L.,REPETUR, C.P.",,"checked",,,,,
"MACHADO","O. MACHADO",,"checked",,,,,
"MADSEN","J.E.  MADSEN",,"checked",,,,,
"MAHECHA","MAHECHA, G.",,"checked",,,,,
"MAHINDA","MAHINDA MARTINEZ; OLIVIA BALTAZAR","NAO ULTIMO","checked","X",,,,
"MAHINDA","MAHINDA MARTÍNEZ","NAO ULTIMO","checked","X",,,,
"MALME","G. O. A. MALME",,"checked",,,,,
"MALME","G.O.A. MALME",,"checked",,,,,
"MALME","MALME",,"checked",,,,,
"MARESTONI","MARESTONI, TM; CERVIGNE, NS; FRANCISCO, EM",,"checked",,,,,
"MARTINEZ","C. MARTÍNEZ",,"checked",,,,,
"MARTINEZ","CIPRIANO MARTÍNEZ R.",,"checked",,,,,
"MARTINEZ","CIPRIANO MARTÍNEZ RAMÍREZ",,"checked",,,,,
"MARTINEZ","E. MARTÍNEZ S.",,"checked",,,,,
"MARTINEZ","G. MARTINEZ-C.","COMPOSTO","checked","X",,,,
"MARTINEZ","G. MARTÍNEZ C.",,"checked",,,,,
"MARTINEZ","JORGE MARTÍNEZ MELÉNDEZ","NAO ULTIMO","checked","X",,,,
"MARTINEZ","M. MARTÍNEZ",,"checked",,,,,
"MARTINEZ","MARTÍNEZ, G. J.",,"checked",,,,,
"MARTINEZ","MARTÍNEZ,S.",,"checked",,,,,
"MARTINEZ","NAYELY MARTÍNEZ MELÉNDEZ","NAO ULTIMO","checked","X",,,,
"MARTINEZ","S. MARTÍNEZ",,"checked",,,,,
"MARTINS","MARTINS, FR; TAMASHIRO, JY",,"checked",,,,,
"MASON","H. L. MASON",,"checked",,,,,
"MATUDA","E. MATUDA",,"checked",,,,,
"MATUDA","EIZI MATUDA",,"checked",,,,,
"MATUDA","MATUDA, E.",,"checked",,,,,
"MATURO","H. MATURO",,"checked",,,,,
"MATURO","H.M. MATURO, D.E. PRADO",,"checked",,,,,
"MAXON","W. R. MAXON, A. D. HARVEY & A. VALENTINE",,"checked",,,,,
"MEAVE","JORGE A. MEAVE",,"checked",,,,,
"MELL","C. D. MELL",,"checked",,,,,
"MELLO-SILVA","MELLO-SILVA, R.",,"checked",,,,,
"MELLO-SILVA","R. MELLO-SILVA; R.C. FORZZA; A.C. MARCATO",,"checked",,,,,
"MENDOZA","MENDOZA, HUMBERTO",,"checked",,,,,
"MERELES","FÁTIMA MERELES",,"checked",,,,,
"MERELES","MERELES, F.",,"checked",,,,,
"MEYRAT","A.K. MEYRAT",,"checked",,,,,
"MIKICH","MIKICH, S.B.",,"checked",,,,,
"MIKICH","MIKICH, SB;MIKICH, S.B.",,"checked",,,,,
"MIKICH","S. B. MIKICH",,"checked",,,,,
"MIRANDA","F. MIRANDA",,"checked",,,,,
"MIRANDA","FAUSTINO MIRANDA",,"checked","X",,,,
"MIRTHA","MIRTHA ORTIZ",,"checked",,,,,
"MOLINA","A. MOLINA R.",,"checked",,,,,
"MOLINA","A. MOLINA R. & A. R. MOLINA",,"checked",,,,,
"MOLINA","ANTONIO MOLINA R.",,"checked","X",,,,
"MOLINA","ANTONIO MOLINA R.; ALBERTINA R. MOLINA",,"checked","X",,,,
"MOLINA","ANTONIO MOLINA R.; ALBERTINA R. MOLINA","NAO ULTIMO","checked","X",,,,
"MOLZ","MOLZ, M",,"checked",,,,,
"MONTES","MONTES, J.E.",,"checked",,,,,
"MONTES","MONTES, JE",,"checked",,,,,
"MORAN","R. MORAN",,"checked",,,,,
"MORAN","REID MORAN",,"checked",,,,,
"MOREL","I. MOREL",,"checked",,,,,
"MORENO","P. P. MORENO",,"checked",,,,,
"MORIN","CLAUDIO V. PAVETTI MORIN",,"checked","X",,,,
"MORRONE","MORRONE, O.",,"checked",,,,,
"MULGURA","MÚLGURA, M. E.",,"checked",,,,,
"MULLER","C. H. MULLER",,"checked",,,,,
"N M M","N.M.M.","ACRÔNIMO","checked",,,,,
"NARVAEZ","ALFONSO NARVAEZ",,"checked",,,,,
"NASCIMENTO","NASCIMENTO, M.T.;RABELO, G.R.",,"checked",,,,,
"NAVARRO","G. NAVARRO",,"checked",,,,,
"NEE","M. H. NEE",,"checked",,,,,
"NEE","M. NEE",,"checked",,,,,
"NEE","M. NEE & I.I. LINNEO F.",,"checked",,,,,
"NEE","M. NEE; K. TAYLOR",,"checked",,,,,
"NEE","MICHAEL H. NEE",,"checked","x",,,,
"NEE","MICHAEL NEE",,"checked","X",,,,
"NEE","NEE, M",,"checked",,,,,
"NEE","NEE, M.",,"checked",,,,,
"NEFFA","NEFFA, V.S.",,"checked",,,,,
"NEILL","DAVID A. NEILL",,"checked",,,,,
"NELSON","E. W. NELSON",,"checked",,,,,
"NICORA","NICORA, E. G.",,"checked",,,,,
"NIELSEN","L.B.  HOLM-NIELSEN","COMPOSTO","checked","X",,,,
"NOVARA","LÁZARO J. NOVARA",,"checked",,,,,
"NOVELO","A. NOVELO R.",,"checked",,,,,
"ORCUTT","C. R. ORCUTT",,"checked",,,,,
"ORTEGA","J. G. ORTEGA",,"checked",,,,,
"ORTIZ","S. ORTIZ",,"checked",,,,,
"PALMER","E. PALMER",,"checked",,,,,
"PALMER","EDWARD PALMER",,"checked",,,,,
"PAREDES","S. PAREDES",,"checked",,,,,
"PAVAO","O.C. PAVÃO",,"checked",,,,,
"PAVAO","PAVÃO, O.C.",,"checked",,,,,
"PAVAO","PAVÃO, O.C. ET AL.",,"checked",,,,,
"PAVAO","PAVÃO, OC",,"checked",,,,,
"PAVAO","PAVÃO, OC; ET AL.",,"checked",,,,,
"PEDERSEN","PEDERSEN TM",,"checked",,,,,
"PEDERSEN","PEDERSEN, TM",,"checked",,,,,
"PEDERSEN","PEDERSEN, TM;PEDERSEN, T.M.",,"checked",,,,,
"PEDERSEN","TROELS M. PEDERSEN",,"checked",,,,,
"PEDERSEN","TROELS MYNDEL PEDERSEN",,"checked",,,,,
"PEDERSON","T. PEDERSON",,"checked",,,,,
"PENNELL","F. W. PENNELL, E. P. KILLIP & T. E. HAZEN",,"checked",,,,,
"PENNINGTON","MILES M. STUART PENNINGTON",,"checked",,,,,
"PENNINGTON","PENNINGTON",,"checked",,,,,
"PEREZ","BLAS PÉREZ",,"checked",,,,,
"PEREZ","E. A. PÉREZ G.",,"checked",,,,,
"PEREZ","PÉREZ A., E.",,"checked",,,,,
"PIRE","PIRE, -",,"checked",,,,,
"PIRE","PIRE, S. M.",,"checked",,,,,
"PITTIER","H. F. PITTIER",,"checked",,,,,
"PLOWMAN","T. PLOWMAN",,"checked",,,,,
"PRINGLE","C. G. PRINGLE",,"checked",,,,,
"PRINGLE","C.G. PRINGLE",,"checked",,,,,
"PRINGLE","PRINGLE, C.G.",,"checked",,,,,
"PRINGLE","PRINGLE, CYRUS GUERNSEY",,"checked",,,,,
"PRINGLE","PRINGLE,C.G.",,"checked",,,,,
"PURPUS","C. A. PURPUS",,"checked",,,,,
"PURPUS","C.A. PURPUS",,"checked",,,,,
"QUEIROZ","QUEIROZ, L.P.DE",,"checked",,,,,
"QUEZADA","J.B. QUEZADA B.",,"checked",,,,,
"QUIGLEY","MARTIN F. QUIGLEY",,"checked",,,,,
"R A","R.A..","ACRÔNIMO","checked",,,,,
"RAMBO","B. RAMBO",,"checked",,,,,
"RAMBO","RAMBO B",,"checked",,,,,
"RAMBO","RAMBO, B",,"checked",,,,,
"RAMBO","RAMBO, B.",,"checked",,,,,
"RAMBO","RAMBO, B;RAMBO, B.",,"checked",,,,,
"RAMIREZ","D. RAMÍREZ CANTÚ","NAO ULTIMO","checked",,,,,
"RAMIREZ","F. RAMÍREZ",,"checked",,,,,
"RAMIREZ","F. RAMÍREZ R.","NAO ULTIMO","checked",,,,,
"RAMIREZ","R. RAMÍREZ D.",,"checked",,,,,
"REBMAN","J. REBMAN",,"checked",,,,,
"REBMAN","JON REBMAN",,"checked",,,,,
"REBMAN","REBMAN",,"checked",,,,,
"REKO","B. P. REKO",,"checked",,,,,
"RENDEROS","RENDEROS,M.",,"checked",,,,,
"RENDON","B. RENDÓN",,"checked",,,,,
"RIBAS","O.S.RIBAS",,"checked",,,,,
"RITTER","NUR RITTER",,"checked",,,,,
"RIVERA","J. RIVERA H.; S. SALAS M.; E. TORRES B.; R. GARCÍA S.",,"checked",,,,,
"RIVERA","J. RIVERA H.; S. SALAS M.; M. ELORSA C.",,"checked",,,,,
"RIVERA","JAIME RIVERA H.; SILVIA H. SALAS M.; MISAEL ELORSA C.",,"checked",,,,,
"ROBLES","L. ROBLES H.",,"checked",,,,,
"ROBLETO","W. ROBLETO T.",,"checked",,,,,
"RODRIGUEZ","F. M. RODRÍGUEZ",,"checked",,,,,
"RODRIGUEZ","RODRIGUEZ",,"checked",,,,,
"RODRIGUEZ","RODRÍGUEZ, F. M.",,"checked",,,,,
"RODRIGUEZ","RODRÍGUEZ,D. & PEÑA,W.",,"checked",,,,,
"ROJAS","MISAEL ROJAS",,"checked","X",,,,
"ROJAS","ROJAS, T.",,"checked",,,,,
"ROJAS","T. ROJAS",,"checked",,,,,
"ROJAS","TEODORO ROJAS",,"checked","X",,,,
"ROMERO","RAFAEL ROMERO-CASTAÑEDA","NAO ULTIMO","checked","X",,,,
"ROSALES","J. M. ROSALES",,"checked",,,,,
"ROSALES","ROSALES,J.M.",,"checked",,,,,
"ROSE","J. N. ROSE",,"checked",,,,,
"ROSE","J. N. ROSE & P. G. RUSSELL",,"checked",,,,,
"ROSE","J. N. ROSE, P. C. STANDLEY & P. G. RUSSELL",,"checked",,,,,
"RUIZ","RUIZ",,"checked",,,,,
"RUNYON","R. RUNYON",,"checked",,,,,
"RUNYON","ROBERT RUNYON",,"checked",,,,,
"RZEDOWSKI","J. RZEDOWSKI",,"checked",,,,,
"SAER","J. SAER",,"checked",,,,,
"SALAS","S. H. SALAS M.",,"checked",,,,,
"SALAS","S. SALAS M.; J. RIVERA H.; M. ELORSA C.",,"checked",,,,,
"SALDIAS","MARIO SALDIAS P.","NAO ULTIMO","checked",,,,,
"SALGADO","SALGADO, C. R.",,"checked",,,,,
"SALIS","SALIS, S. M.",,"checked",,,,,
"SANCHEZ","J.J. SÁNCHEZ; L. MORENO M.; E. GÓMEZ L.",,"checked",,,,,
"SANDEMAN","C. SANDEMAN",,"checked",,,,,
"SANDERS","A.C. SANDERS; T.R. VAN DEVENDER, R.K. VAN DEVENDER, S. MEYER, B. PITZER",,"checked",,,,,
"SANDINO","J. C. SANDINO",,"checked",,,,,
"SARAVIA","CARLOS SARAVIA",,"checked",,,,,
"SARAVIA","E. SARAVIA",,"checked",,,,,
"SARAVIA","SARAVIA TOLEDO, C.","NAO ULTIMO","checked",,,,,
"SCARPA","G.F. SCARPA",,"checked",,,,,
"SCARPA","SCARPA, G. F.",,"checked",,,,,
"SCHININI","A. SCHININI",,"checked",,,,,
"SCHININI","SCHININI A",,"checked",,,,,
"SCHININI","SCHININI, A.",,"checked",,,,,
"SCHMEDA","G. SCHMEDA",,"checked",,,,,
"SCHREITER","SCHREITER R",,"checked",,,,,
"SCHUEL","SCHUEL KM",,"checked",,,,,
"SCHWARZ","G.J. SCHWARZ",,"checked",,,,,
"SCHWARZ","SCHWARZ, G.J.",,"checked",,,,,
"SEGER","SEGER, GDS",,"checked",,,,,
"SELLOW","F. SELLOW",,"checked",,,,,
"SELLOW","SELLOW F.",,"checked",,,,,
"SELLOW","SELLOW,F.",,"checked",,,,,
"SEM-COLETOR","COLLECTOR UNKNOWN","SEM-COLETOR","checked","x",,,,
"SEM-COLETOR","NO DISPONIBLE","SEM-COLETOR","checked","X",,,,
"SEM-COLETOR","UNKNOWN","SEM-COLETOR","checked","X",,,,
"SEM-COLETOR",,"SEM-COLETOR","checked","x",,,,
"SESSE","M. SESSÉ & J. M. MOCIÑO",,"checked",,,,,
"SESSE","SESSÉ & MOCIÑO",,"checked",,,,,
"SHREVE","F. SHREVE",,"checked",,,,,
"SILVA","FRANCISCO DAS CHAGAS E SILVA",,"checked","X",,,,
"SILVA","FRANCISCO DAS CHAGAS E SILVA; ET AL.",,"checked","X",,,,
"SILVA","FRANCISCO DAS CHAGAS E SILVA; SOARES-SILVA, LH",,"checked","X",,,,
"SIMPSON","D. R. SIMPSON & J. SCHUNKE VIGO",,"checked",,,,,
"SIN","SIN","ACRÔNIMO","checked",,,,,
"SIQUEIRA","E.L. SIQUEIRA",,"checked",,,,,
"SIQUEIRA","SIQUEIRA, E.L. ET AL.",,"checked",,,,,
"SIQUEIRA","SIQUEIRA, E.L.; ET AL.",,"checked",,,,,
"SIQUEIRA","SIQUEIRA, E.L.;ET AL.",,"checked",,,,,
"SIQUEIRA","SIQUEIRA, EL",,"checked",,,,,
"SIQUEIRA","SIQUEIRA, EL;SIQUEIRA, E.L.",,"checked",,,,,
"SMITH","HERBERT H. SMITH",,"checked","X",,,,
"SMITH","L. B. SMITH",,"checked",,,,,
"SMITH","L. SMITH & R. M. KLEIN",,"checked",,,,,
"SMITH","L.B. SMITH;,R.M. KLEIN,SMITH, R.M. KLEIN",,"checked",,,,,
"SMITH","LYMAN B. SMITH;ROBERTO M. KLEIN",,"checked",,,,,
"SMITH","ROBERT F. SMITH",,"checked","X",,,,
"SMITH","SMITH, L. B.",,"checked",,,,,
"SMITH","SMITH, L.B.; KLEIN, R.M.",,"checked",,,,,
"SOLOMON","SOLOMON JC; NEE MH",,"checked",,,,,
"SOLORIO","MISAEL ROJAS SOLORIO",,"checked",,,,,
"SORIA","N. SORIA",,"checked",,,,,
"SORIA","NÉLIDA SORIA",,"checked","x",,,,
"SORIA","SORIA, N.",,"checked",,,,,
"SOTO","JORGE CALÓNICO SOTO; O. TÉLLEZ; A. DOMÍNGUEZ M.; J. MARTÍNEZ C.",,"checked","X",,,,
"SOTO","JOSÉ C. SOTO NUNEZ; AMADA ROMÁN DE SOTO","NAO ULTIMO","checked","X",,,,
"SOTO","JOSÉ C. SOTO NÚÑEZ","NAO ULTIMO","checked","X",,,,
"SOUSA","M. SOUSA",,"checked",,,,,
"SOUZA","PAULA-SOUZA, J","COMPOSTO","checked","X",,,,
"SOUZA","PAULA-SOUZA, J.","COMPOSTO","checked","X",,,,
"SOUZA","SOUZA, V. C.",,"checked",,,,,
"SOUZA","SOUZA, V.C.",,"checked",,,,,
"SOUZA","SOUZA, VC",,"checked",,,,,
"SOUZA","SOUZA, VC;SOUZA, V.C.",,"checked",,,,,
"SPARRE","BENKT SPARRE",,"checked",,,,,
"SPARRE","SPARRE & VERVOORST",,"checked",,,,,
"STANDLEY","P. C. STANDLEY",,"checked",,,,,
"STANDLEY","PAUL C. STANDLEY",,"checked",,,,,
"STEINMANN","V. W. STEINMANN; E. CARRANZA G.",,"checked",,,,,
"STEVENS","W. D. STEVENS",,"checked",,,,,
"STEYERMARK","JULIÁN A. STEYERMARK",,"checked",,,,,
"STEYERMARK","STEYERMARK JA; MANARA BJ",,"checked",,,,,
"TAMAYO","F. TAMAYO",,"checked",,,,,
"TELLEZ","O. TÉLLEZ; A. DOMÍNGUEZ M.; JORGE CALÓNICO SOTO",,"checked",,,,,
"TENORIO","P. TENORIO L.",,"checked",,,,,
"TEODORE","TEODORE MEYER",,"checked",,,,,
"THARP","B. C. THARP",,"checked",,,,,
"THIEME","C. THIEME",,"checked",,,,,
"TOME","TOMÉ, MVF",,"checked",,,,,
"TOME","TOMÉ, MVF;TOMÉ, M.V.F.",,"checked",,,,,
"TORRES","M.L. TORRES C.; ET AL.",,"checked",,,,,
"TRAVERSE","ALFRED TRAVERSE",,"checked",,,,,
"TRESSENS","S. G. TRESSENS",,"checked",,,,,
"TRESSENS","TRESSENS, S. G.",,"checked",,,,,
"TRESSENS","TRESSENS, S.G.",,"checked",,,,,
"TRIANA","J. TRIANA",,"checked",,,,,
"TRIANA","JOSÉ J. TRIANA",,"checked",,,,,
"TRIANA","TRIANA, J.",,"checked",,,,,
"TRIANA","TRIANA,J.J.",,"checked",,,,,
"TUCKER","J. M. TUCKER",,"checked",,,,,
"TUCKER","J.M. TUCKER",,"checked",,,,,
"TUCKER","TUCKER, JM",,"checked",,,,,
"URIBE","URIBE U., L.",,"checked",,,,,
"VALLA","J.J. VALLA",,"checked",,,,,
"VARGAS","I. G. VARGAS C.",,"checked",,,,,
"VARGAS","ISRAEL G. VARGAS C.",,"checked",,,,,
"VARGAS","VARGAS W.",,"checked",,,,,
"VARGAS","W. G. VARGAS",,"checked",,,,,
"VELARDE","O. VELARDE",,"checked",,,,,
"VELIZ","M. VÉLIZ; A. CÓBAR",,"checked",,,,,
"VELIZ","M. VÉLIZ; F. RAMÍREZ",,"checked",,,,,
"VENTURA","F. VENTURA A.",,"checked",,,,,
"VENTURA","FRANCISCO VENTURA A.","NAO ULTIMO","checked","X",,,,
"VENTURI","S. VENTURI",,"checked",,,,,
"VENTURI","VENTURI, S.",,"checked",,,,,
"VERA","M. VERA, M. PEÑA-CHOCARRO, J. DEEGEA-JUVINEL, M. TORRE",,"checked",,,,,
"VERDI","M. VERDI; R.P. HASCKEL; G. KLEMZ",,"checked",,,,,
"VERDI","VERDI, M.",,"checked",,,,,
"VERDI","VERDI, M.;KLEMZ, G.,M. VERDI,R.P. HASCKEL,G. KLEMZ,HASCKEL, R.P.",,"checked",,,,,
"VERDI","VERDI, M; ET AL.",,"checked",,,,,
"VERDI","VERDI, M; HASCKEL, RP; KLEMZ, G",,"checked",,,,,
"VIERECK","H. W. VIERECK",,"checked",,,,,
"VILLACORTA","RAUL VILLACORTA",,"checked",,,,,
"VILLACORTA","VILLACORTA,R.",,"checked",,,,,
"VILLANUEVA","B. VILLANUEVA; O. VELÁZQUEZ; B. AGUIRRE; C. OSPINA; J. CABEZAS",,"checked",,,,,
"WALKER","J. B. WALKER",,"checked",,,,,
"WATERFALL","U. T. WATERFALL",,"checked",,,,,
"WEBERBAUER","A. WEBERBAUER",,"checked",,,,,
"WIGGINS","I. L. WIGGINS",,"checked",,,,,
"WIGGINS","IRA L. WIGGINS",,"checked",,,,,
"WILLIAM","WILLIAM VARGAS",,"checked",,,,,
"WILLIAMS","D. E. WILLIAMS",,"checked",,,,,
"WILLIAMS","WILLIAMS L",,"checked",,,,,
"WILLIAMS","WILLIAMS, L.",,"checked",,,,,
"WOOD","J.R.I. WOOD",,"checked",,,,,
"WOOLSTON","WOOLSTON, A. L.",,"checked",,,,,
"WOYTKOWSKI","FELIX WOYTKOWSKI",,"checked",,,,,
"WRIGHT","C. WRIGHT",,"checked",,,,,
"YANEZ","M. YANEZ",,"checked",,,,,
"ZAMORA","P. ZAMORA C.",,"checked",,,,,
"ZARDINI","E. M. ZARDINI",,"checked",,,,,
"ZARDINI","E. ZARDINI",,"checked",,,,,
"ZARDINI","E. ZARDINI & R. VELÁSQUEZ",,"checked",,,,,
"ZARDINI","ELSA M. ZARDINI",,"checked",,,,,
"ZARDINI","ZARDINI, E. M.",,"checked",,,,,
"ZARDINI","ZARDINI, EM",,"checked",,,,,
"ZARDINI","ZARDINI, EM; AGUAYO, A",,"checked",,,,,
"ZARDINI","ZARDINI, EM;ZARDINI, E.M.",,"checked",,,,,
"ZOLA","M. G. ZOLA B.",,"checked",,,,,
"ZOLA","M.G. ZOLÁ B.",,"checked",,,,,
